symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl_usd,pnl_pct,entry_readiness,entry_confirmations,strategy_type,rationale,result,lesson
META,2026-06-04T13:30:18.140249Z,2026-06-08T15:45:41.851164Z,3,625.24,588.26,-110.94,-0.0591,38.8,1,momentum,Buy 2 META @ $638.69,loss,Significant loss — review entry timing and sector exposure.
MSFT,2026-06-05T13:31:16.792862Z,2026-06-08T17:50:21.017814Z,10,428.8,411.24,-175.6,-0.041,36.3,1,momentum,Buy 10 MSFT @ $428.80,loss,Small loss — likely noise or stop too tight.
SCHD,2026-06-04T13:32:38.199835Z,2026-06-09T13:32:15.492815Z,30,32.75,32.34,-12.3,-0.0125,,,unknown,Buy 30 SCHD @ $32.75,loss,Small loss — likely noise or stop too tight.
SOFI,2026-06-04T13:33:05.12202Z,2026-06-09T13:33:00.070452Z,100,16.61,16.68,7.0,0.0042,77.1,3,momentum,Buy 100 SOFI @ $17.06,win,Modest winner — held to target.
SGOV,2026-06-04T13:32:31.675688Z,2026-06-09T13:33:15.026744Z,15,100.43,100.46,0.45,0.0003,,,unknown,Buy 15 SGOV @ $100.43,win,Modest winner — held to target.
APP,2026-06-04T13:31:33.523774Z,2026-06-11T13:35:07.945425Z,8,568.37,477.69,-725.44,-0.1595,44.0,1,momentum,Buy 8 APP @ $568.37,loss,Significant loss — review entry timing and sector exposure.
AVGO,2026-06-04T13:32:21.790447Z,2026-06-12T18:32:41.851224Z,5,409.8,381.05,-143.75,-0.0702,58.7,2,momentum,Buy 5 AVGO @ $409.80,loss,Significant loss — review entry timing and sector exposure.
AAPL,2026-06-05T13:33:02.32113Z,2026-06-12T18:32:41.914745Z,25,313.97,290.57,-585.0,-0.0745,46.9,2,momentum,Buy 25 AAPL @ $313.97,loss,Significant loss — review entry timing and sector exposure.
HOOD,2026-06-04T13:33:05.174329Z,2026-06-12T18:32:42.421836Z,25,83.46,93.19,243.25,0.1166,81.9,4,momentum,Buy 25 HOOD @ $83.46,win,Strong winner — factor alignment worked.
CRWD,2026-06-04T13:31:56.693998Z,2026-06-16T13:33:26.914474Z,3,687.49,676.86,-31.89,-0.0155,46.1,2,momentum,Buy 3 CRWD @ $687.49,loss,Small loss — likely noise or stop too tight.
PLTR,2026-06-04T13:30:48.361976Z,2026-06-24T13:32:59.280542Z,25,144.14,116.26,-697.0,-0.1934,33.1,1,momentum,Buy 25 PLTR @ $144.14,loss,Significant loss — review entry timing and sector exposure.
GOOGL,2026-06-05T13:30:57.227016Z,2026-06-24T13:35:11.275365Z,15,367.54,350.87,-250.05,-0.0454,47.8,2,momentum,Buy 15 GOOGL @ $367.54,loss,Small loss — likely noise or stop too tight.
LCID,2026-06-17T13:33:09.58015Z,2026-06-24T13:35:12.440995Z,1,5.08,5.23,0.15,0.0295,47.4,3,momentum,RSI Auto-Entry: RSI 30.8 (below 35.0) with volume confirmation [CASH ONLY],win,Modest winner — held to target.
NIO,2026-06-17T19:49:42.573175Z,2026-06-24T13:35:14.147928Z,1,5.04,4.98,-0.06,-0.0119,36.5,1,momentum,RSI Auto-Entry: RSI 30.9 (below 35.0) with volume confirmation [CASH ONLY],loss,Small loss — likely noise or stop too tight.
XPEV,2026-06-16T15:37:54.274795Z,2026-06-24T13:35:21.449336Z,1,13.98,12.64,-1.34,-0.0959,30.3,1,momentum,RSI Auto-Entry: RSI 29.5 (below 35.0) with volume confirmation [CASH ONLY],loss,Significant loss — review entry timing and sector exposure.
AMZN,2026-06-15T16:56:52.329075Z,2026-06-24T13:35:23.550865Z,40,245.83,236.82,-360.4,-0.0367,46.9,2,momentum,RSI Auto-Entry: RSI 26.8 (below 35.0) with volume confirmation [CASH ONLY],loss,Small loss — likely noise or stop too tight.
MSFT,2026-06-18T17:39:11.512792Z,2026-06-24T13:35:24.100881Z,1,379.66,376.25,-3.41,-0.009,36.3,1,momentum,RSI Auto-Entry: RSI 32.2 (below 35.0) with volume confirmation [CASH ONLY],loss,Small loss — likely noise or stop too tight.
NVDA,2026-06-04T13:30:22.265513Z,2026-06-24T13:35:24.342206Z,12,213.38,200.65,-152.76,-0.0597,64.1,2,momentum,Buy 5 NVDA @ $214.63,loss,Significant loss — review entry timing and sector exposure.
COIN,2026-06-24T13:34:46.956468Z,2026-06-24T14:04:35.132136Z,34,157.57,153.16,-149.94,-0.028,56.8,2,momentum,COUNCIL MODE: JONES conviction - Target $120.00 hit!,loss,Small loss — likely noise or stop too tight.
AMD,2026-06-04T14:53:59.878615Z,2026-06-24T14:04:35.157008Z,16,517.49,521.73,67.84,0.0082,86.8,5,momentum,Buy 25 AMD @ $517.49,win,Modest winner — held to target.
DKNG,2026-06-09T15:02:46.234927Z,2026-06-24T14:04:35.187759Z,414,26.99,24.91,-861.12,-0.0771,49.1,1,momentum,Buy 800 DKNG @ $26.99,loss,Significant loss — review entry timing and sector exposure.
SHOP,2026-06-24T13:34:28.235887Z,2026-06-24T14:04:35.242658Z,24,111.24,110.2,-24.96,-0.0093,64.2,2,momentum,COUNCIL MODE: WOOD conviction - Target $105.00 hit!,loss,Small loss — likely noise or stop too tight.
HOOD,2026-06-09T15:02:46.857202Z,2026-06-24T14:04:35.364599Z,28,84.2,98.89,411.32,0.1745,81.9,4,momentum,Buy 200 HOOD @ $84.20,win,Strong winner — factor alignment worked.
UPST,2026-06-09T15:02:46.162522Z,2026-06-24T14:04:35.531853Z,87,30.97,32.31,116.58,0.0433,79.2,4,momentum,Buy 350 UPST @ $30.97,win,Modest winner — held to target.
AMAT,2026-06-24T14:47:56.165279Z,2026-06-24T14:52:56.735672Z,3,593.28,592.94,-1.02,-0.0006,79.4,5,momentum,Buy 15 AMAT @ $593.28,loss,Small loss — likely noise or stop too tight.
AMD,2026-06-05T16:18:59.725307Z,2026-06-24T14:52:56.926965Z,4,478.96,521.63,170.68,0.0891,86.8,5,momentum,Buy 10 AMD @ $478.96,win,Modest winner — held to target.
AFRM,2026-06-24T14:47:55.96808Z,2026-06-24T14:52:56.94205Z,29,79.38,79.35,-0.87,-0.0004,76.3,3,momentum,Buy 118 AFRM @ $79.38,loss,Small loss — likely noise or stop too tight.
ABNB,2026-06-24T14:47:56.157266Z,2026-06-24T14:52:57.111842Z,15,145.97,145.77,-3.0,-0.0014,64.7,2,momentum,Buy 61 ABNB @ $145.97,loss,Small loss — likely noise or stop too tight.
AFRM,2026-06-25T14:03:13.730893Z,2026-06-25T14:08:13.712002Z,25,77.37,77.63,6.5,0.0034,76.3,3,momentum,Buy 33 AFRM @ $77.37,win,Modest winner — held to target.
AMAT,2026-06-25T14:13:16.298915Z,2026-06-25T14:18:23.671826Z,3,620.98,621.4,1.26,0.0007,79.4,5,momentum,Buy 3 AMAT @ $620.98,win,Modest winner — held to target.
AMD,2026-06-25T14:23:26.027051Z,2026-06-25T18:26:19.125273Z,3,519.94,526.81,20.61,0.0132,86.8,5,momentum,Buy 3 AMD @ $519.94,win,Modest winner — held to target.
AAPL,2026-06-24T14:52:57.873554Z,2026-06-26T14:57:24.667529Z,1,297.19,280.12,-17.07,-0.0574,46.9,2,momentum,Buy 26 AAPL @ $297.19,loss,Significant loss — review entry timing and sector exposure.
AMZN,2026-06-24T17:15:08.04596Z,2026-06-26T15:13:34.030138Z,6,239.96,230.47,-56.94,-0.0395,46.9,2,momentum,Buy 31 AMZN @ $239.96,loss,Small loss — likely noise or stop too tight.
AAPL,2026-06-25T14:03:13.60602Z,2026-06-26T15:13:34.047603Z,6,280.0,279.42,-3.48,-0.0021,46.9,2,momentum,Buy 7 AAPL @ $280.00,loss,Small loss — likely noise or stop too tight.
CDNS,2026-06-24T14:47:56.579805Z,2026-06-26T15:23:36.529981Z,5,377.21,371.81,-27.0,-0.0143,63.6,2,momentum,Buy 20 CDNS @ $377.21,loss,Small loss — likely noise or stop too tight.
CDNS,2026-06-25T14:33:34.864511Z,2026-06-26T15:30:27.469081Z,4,371.08,372.46,5.52,0.0037,63.6,2,momentum,Buy 5 CDNS @ $371.08,win,Modest winner — held to target.
COST,2026-06-24T17:15:07.384096Z,2026-06-26T15:30:27.791844Z,2,961.69,959.23,-4.92,-0.0026,65.2,2,momentum,Buy 9 COST @ $961.69,loss,Small loss — likely noise or stop too tight.
COST,2026-06-25T14:43:37.315707Z,2026-06-26T15:30:59.149867Z,1,943.99,959.6,15.61,0.0165,65.2,2,momentum,Buy 1 COST @ $943.99,win,Modest winner — held to target.
RIVN,2026-06-25T18:21:18.800765Z,2026-06-29T13:34:24.654048Z,67,14.46,15.84,92.46,0.0954,52.6,2,momentum,Buy 67 RIVN @ $14.46,win,Modest winner — held to target.
LCID,2026-06-25T18:21:17.319599Z,2026-06-29T13:34:25.976527Z,190,5.12,6.16,197.6,0.2031,47.4,3,momentum,Buy 190 LCID @ $5.12,win,Strong winner — factor alignment worked.
PLTR,2026-06-05T16:19:00.405811Z,2026-06-29T13:35:07.272586Z,9,136.93,116.91,-180.18,-0.1462,33.1,1,momentum,Buy 20 PLTR @ $136.93,loss,Significant loss — review entry timing and sector exposure.
LULU,2026-06-25T18:21:18.642357Z,2026-06-29T13:35:15.374719Z,8,112.9,115.35,19.6,0.0217,59.7,2,momentum,Buy 8 LULU @ $112.90,win,Modest winner — held to target.
MRVL,2026-06-25T18:21:18.024886Z,2026-06-29T13:35:55.446513Z,1,278.32,271.55,-6.77,-0.0243,79.9,3,momentum,Buy 3 MRVL @ $278.32,loss,Small loss — likely noise or stop too tight.
NVDA,2026-06-04T14:49:12.567065Z,2026-06-29T13:35:56.489409Z,1,214.63,194.84,-19.79,-0.0922,64.1,2,momentum,Buy 5 NVDA @ $214.63,loss,Significant loss — review entry timing and sector exposure.
NXPI,2026-06-25T18:21:19.148782Z,2026-06-29T13:36:04.462053Z,3,302.82,279.55,-69.81,-0.0768,60.7,2,momentum,Buy 3 NXPI @ $302.82,loss,Significant loss — review entry timing and sector exposure.
ROKU,2026-06-25T18:21:17.735987Z,2026-06-29T13:36:21.146085Z,7,134.93,136.08,8.05,0.0085,68.9,3,momentum,Buy 7 ROKU @ $134.93,win,Modest winner — held to target.
LCID,2026-06-26T15:35:28.850782Z,2026-06-29T13:36:24.837999Z,340,5.53,6.16,214.2,0.1139,47.4,3,momentum,Buy 1511 LCID @ $5.53,win,Strong winner — factor alignment worked.
ABNB,2026-06-25T14:03:13.691728Z,2026-06-29T13:37:55.697787Z,18,144.7,146.25,27.9,0.0107,64.7,2,momentum,Buy 18 ABNB @ $144.70,win,Modest winner — held to target.
GTLB,2026-06-25T18:21:18.339383Z,2026-06-29T13:38:24.901489Z,34,27.99,29.78,60.86,0.064,51.0,2,momentum,Buy 34 GTLB @ $27.99,win,Modest winner — held to target.
NVDA,2026-06-25T18:21:18.475313Z,2026-06-29T13:39:28.036817Z,4,194.9,194.12,-3.12,-0.004,64.1,2,momentum,Buy 5 NVDA @ $194.90,loss,Small loss — likely noise or stop too tight.
MRVL,2026-06-26T15:35:29.190294Z,2026-06-29T13:40:10.786045Z,13,265.56,267.46,24.7,0.0072,79.9,3,momentum,Buy 13 MRVL @ $265.56,win,Modest winner — held to target.
AMAT,2026-06-29T13:44:45.64724Z,2026-06-29T13:50:38.856185Z,1,655.19,659.05,3.86,0.0059,79.4,5,momentum,Buy 1 AMAT @ $655.19,win,Modest winner — held to target.
TER,2026-06-29T13:44:40.609872Z,2026-06-29T14:07:05.164453Z,6,430.21,419.33,-65.28,-0.0253,75.9,4,momentum,Buy 6 TER @ $430.21,loss,Small loss — likely noise or stop too tight.
MU,2026-06-29T14:16:54.353989Z,2026-06-29T14:22:52.026342Z,4,1029.24,1039.56,41.28,0.01,81.7,3,momentum,Buy 4 MU @ $1029.24,win,Modest winner — held to target.
SOFI,2026-06-04T14:49:09.995458Z,2026-06-29T14:22:52.153467Z,100,17.06,17.75,69.0,0.0404,77.1,3,momentum,Buy 100 SOFI @ $17.06,win,Modest winner — held to target.
SOFI,2026-06-29T14:16:56.596805Z,2026-06-29T14:28:00.232918Z,1,17.57,17.76,0.19,0.0108,77.1,3,momentum,Buy 325 SOFI @ $17.57,win,Modest winner — held to target.
ELF,2026-06-24T14:04:36.169124Z,2026-06-29T14:28:58.610748Z,11,64.22,67.76,38.94,0.0551,44.4,2,momentum,Buy 11 ELF @ $64.22,win,Modest winner — held to target.
UPST,2026-06-29T14:27:57.759094Z,2026-06-29T14:33:14.357634Z,55,33.42,33.81,21.45,0.0117,79.2,4,momentum,Buy 172 UPST @ $33.42,win,Modest winner — held to target.
LRCX,2026-06-29T13:44:39.262043Z,2026-06-29T14:33:17.810968Z,1,389.53,396.02,6.49,0.0167,75.3,4,momentum,Buy 6 LRCX @ $389.53,win,Modest winner — held to target.
MU,2026-06-29T14:38:53.200634Z,2026-06-29T14:48:59.562833Z,3,1054.71,1040.83,-41.64,-0.0132,81.7,3,momentum,Buy 4 MU @ $1029.24,loss,Small loss — likely noise or stop too tight.
MU,2026-06-29T14:43:56.265067Z,2026-06-29T14:59:54.470489Z,1,1049.99,1062.0,12.01,0.0114,81.7,3,momentum,Buy 4 MU @ $1029.24,win,Modest winner — held to target.
AAPL,2026-06-29T17:25:35.91249Z,2026-06-29T17:26:09.753391Z,1,281.32,281.39,0.07,0.0002,46.9,2,momentum,Buy 1 AAPL @ $281.32,win,Modest winner — held to target.
AMD,2026-06-29T15:15:56.777616Z,2026-06-30T13:59:00.950868Z,1,522.53,553.51,30.98,0.0593,86.8,5,momentum,Buy 5 AMD @ $522.53,win,Modest winner — held to target.
ABNB,2026-06-30T13:59:22.519233Z,2026-06-30T14:04:46.792984Z,10,147.31,147.13,-1.8,-0.0012,64.7,2,momentum,"Entry (readiness 74.6, 4/9 conf) - score=58.7 atr%=3.04% target=$7,997 qty=53 | intraday: intraday mixed — size reduced to 0.8x",loss,Small loss — likely noise or stop too tight.
AFRM,2026-06-29T14:38:53.271134Z,2026-06-30T14:04:47.355424Z,12,80.87,82.02,13.8,0.0142,76.3,3,momentum,Buy 25 AFRM @ $80.87,win,Modest winner — held to target.
PAYO,2026-06-30T13:59:34.266584Z,2026-06-30T14:04:47.468627Z,220,7.12,7.11,-2.2,-0.0014,72.5,2,momentum,"Avg-in on PAYO (readiness 72.3, avg-in score=65.9 atr%=1.83% target=$3,687 qty=509)",loss,Small loss — likely noise or stop too tight.
LMND,2026-06-30T13:59:28.388297Z,2026-06-30T14:04:47.888238Z,30,63.49,63.23,-7.8,-0.0041,75.3,3,momentum,"Avg-in on LMND (readiness 72.8, avg-in score=50.7 atr%=5.97% target=$5,490 qty=85)",loss,Small loss — likely noise or stop too tight.
SHOP,2026-06-30T13:59:45.203507Z,2026-06-30T14:04:48.098857Z,13,115.53,115.03,-6.5,-0.0043,64.2,2,momentum,"Entry (readiness 72.1, 4/9 conf) - score=37.6 atr%=4.44% target=$7,997 qty=67 | intraday: intraday mixed — size reduced to 0.8x",loss,Small loss — likely noise or stop too tight.
UBER,2026-06-30T13:59:10.935586Z,2026-06-30T14:04:48.4243Z,21,74.31,74.21,-2.1,-0.0013,69.8,4,momentum,"Entry (readiness 76.3, 5/9 conf) - score=48.7 atr%=3.73% target=$7,997 qty=105 | intraday: intraday mixed — size reduced to 0.8x",loss,Small loss — likely noise or stop too tight.
ROKU,2026-06-30T13:59:16.38342Z,2026-06-30T14:04:48.471812Z,11,137.25,137.01,-2.64,-0.0017,68.9,3,momentum,"Entry (readiness 74.9, 4/9 conf) - score=60.6 atr%=3.58% target=$7,997 qty=57 | intraday: intraday mixed — size reduced to 0.8x",loss,Small loss — likely noise or stop too tight.
LRCX,2026-06-29T13:50:40.630231Z,2026-06-30T14:16:01.377501Z,2,389.9,430.48,81.16,0.1041,75.3,4,momentum,Buy 6 LRCX @ $389.53,win,Strong winner — factor alignment worked.
AMAT,2026-06-30T14:10:52.969974Z,2026-06-30T14:16:01.496527Z,2,718.59,720.27,3.36,0.0023,79.4,5,momentum,"Avg-in on AMAT (readiness 77.5, avg-in score=67.9 atr%=6.45% target=$5,834 qty=7)",win,Modest winner — held to target.
AMD,2026-06-29T15:21:00.760727Z,2026-06-30T14:16:01.574537Z,1,521.0,555.39,34.39,0.066,86.8,5,momentum,Buy 5 AMD @ $522.53,win,Modest winner — held to target.
MRVL,2026-06-30T13:54:29.871837Z,2026-06-30T14:16:02.233197Z,2,287.9,294.48,13.16,0.0229,79.9,3,momentum,"Avg-in on MRVL (readiness 79.9, avg-in score=63.4 atr%=8.98% target=$5,350 qty=17)",win,Modest winner — held to target.
MU,2026-06-29T14:54:54.165435Z,2026-06-30T14:16:02.244134Z,1,1061.47,1148.27,86.8,0.0818,81.7,3,momentum,Buy 4 MU @ $1029.24,win,Modest winner — held to target.
HOOD,2026-06-30T14:10:53.616605Z,2026-06-30T14:16:02.291311Z,17,101.12,101.42,5.1,0.003,81.9,4,momentum,"Avg-in on HOOD (readiness 79.7, avg-in score=61.2 atr%=6.84% target=$5,062 qty=49)",win,Modest winner — held to target.
TER,2026-06-29T13:50:40.73693Z,2026-06-30T14:16:03.220523Z,2,425.79,475.18,98.78,0.116,75.9,4,momentum,Buy 6 TER @ $430.21,win,Strong winner — factor alignment worked.
LRCX,2026-06-30T14:10:58.22323Z,2026-06-30T14:21:06.816465Z,1,430.13,429.22,-0.91,-0.0021,75.3,4,momentum,"Avg-in on LRCX (readiness 75.4, avg-in score=68.1 atr%=6.66% target=$3,211 qty=7)",loss,Small loss — likely noise or stop too tight.
MRVL,2026-06-30T14:16:10.622783Z,2026-06-30T14:21:07.504299Z,6,294.19,294.65,2.76,0.0016,79.9,3,momentum,"Avg-in on MRVL (readiness 79.9, avg-in score=63.4 atr%=8.98% target=$5,350 qty=17)",win,Modest winner — held to target.
UPST,2026-06-30T14:16:05.733071Z,2026-06-30T14:21:07.593649Z,56,34.99,34.9,-5.04,-0.0026,79.2,4,momentum,"Avg-in on UPST (readiness 79.4, avg-in score=53.2 atr%=6.29% target=$4,992 qty=139)",loss,Small loss — likely noise or stop too tight.
TER,2026-06-29T14:16:55.276522Z,2026-06-30T14:21:07.823452Z,1,418.77,477.25,58.48,0.1396,75.9,4,momentum,Buy 6 TER @ $430.21,win,Strong winner — factor alignment worked.
CAT,2026-06-30T13:59:33.487733Z,2026-06-30T14:26:58.374625Z,7,1056.02,1061.61,39.13,0.0053,71.2,5,momentum,"Entry (readiness 72.4, 5/9 conf) - score=68.5 atr%=3.92% target=$7,997 qty=7",win,Modest winner — held to target.
LRCX,2026-06-30T14:10:59.859476Z,2026-06-30T14:26:58.603101Z,4,430.4,429.91,-1.96,-0.0011,75.3,4,momentum,"Avg-in on LRCX (readiness 75.4, avg-in score=68.1 atr%=6.66% target=$3,211 qty=7)",loss,Small loss — likely noise or stop too tight.
LMND,2026-06-30T14:27:09.347119Z,2026-06-30T14:32:12.657346Z,43,62.97,62.67,-12.9,-0.0048,75.3,3,momentum,"Avg-in on LMND (readiness 72.8, avg-in score=50.7 atr%=5.97% target=$5,490 qty=85)",loss,Small loss — likely noise or stop too tight.
LMND,2026-06-30T14:27:11.621944Z,2026-06-30T14:37:16.074125Z,1,62.97,62.4,-0.57,-0.0091,75.3,3,momentum,"Avg-in on LMND (readiness 72.8, avg-in score=50.7 atr%=5.97% target=$5,490 qty=85)",loss,Small loss — likely noise or stop too tight.
EXPE,2026-06-30T14:27:05.42917Z,2026-06-30T14:43:06.956702Z,29,262.38,259.2,-92.22,-0.0121,71.5,3,momentum,"Entry (readiness 72.5, 3/9 conf) - score=60.6 atr%=4.17% target=$8,006 qty=29",loss,Small loss — likely noise or stop too tight.
MU,2026-06-30T14:48:10.430159Z,2026-06-30T14:53:11.715017Z,1,1148.61,1140.59,-8.02,-0.007,81.7,3,momentum,"Avg-in on MU (readiness 81.7, avg-in score=65.8 atr%=8.89% target=$6,842 qty=5)",loss,Small loss — likely noise or stop too tight.
TER,2026-06-30T13:53:59.401972Z,2026-06-30T14:53:12.279051Z,1,469.82,481.36,11.54,0.0246,75.9,4,momentum,"Avg-in on TER (readiness 79.6, avg-in score=66.7 atr%=7.09% target=$1,185 qty=2)",win,Modest winner — held to target.
AFRM,2026-06-30T14:59:06.12439Z,2026-06-30T15:04:07.793118Z,24,81.32,81.64,7.68,0.0039,76.3,3,momentum,"Avg-in on AFRM (readiness 76.4, avg-in score=65.4 atr%=5.44% target=$6,998 qty=84)",win,Modest winner — held to target.
